model,total_gpu_energy,energy_score
mixedbread-ai/mxbai-embed-large-v1,0.0005904,5
thenlper/gte-base,0.000245417,5
thenlper/gte-large,0.000594633,5
BAAI/bge-base-en-v1.5,0.000250457,5
BAAI/bge-small-en-v1.5,0.000193928,5
Salesforce/SFR-Embedding-Mistral,0.005220944,1
intfloat/e5-large-v2,0.000602341,5
intfloat/e5-base-v2,0.00025328,5
intfloat/multilingual-e5-large-instruct,0.000721829,5
GritLM/GritLM-7B,0.005025232,1
izhx/udever-bloom-3b,0.002152738,3
izhx/udever-bloom-7b1,0.004704201,1
izhx/udever-bloom-1b1,0.000968773,5
WhereIsAI/UAE-Large-V1,0.000600639,5
llmrails/ember-v1,0.000576077,5
nomic-ai/nomic-embed-text-v1,0.000380462,5
avsolatorio/GIST-Embedding-v0,0.000258269,5
avsolatorio/GIST-large-Embedding-v0,0.000577657,5
avsolatorio/GIST-all-MiniLM-L6-v2,0.000106329,5
